[01:19:51] [INFO] received Windows console close event; shutting log-core down
[01:22:55] [INFO] received Windows console close event; shutting log-core down
[01:23:22] [INFO] received Windows console close event; shutting log-core down
[01:23:50] [INFO] received Windows console close event; shutting log-core down
[01:24:57] [INFO] received Windows console close event; shutting log-core down
[01:25:51] [INFO] received Windows console close event; shutting log-core down
[01:27:21] [INFO] received Windows console close event; shutting log-core down
[01:27:36] [INFO] received Windows console close event; shutting log-core down
[01:27:43] [INFO] received Windows console close event; shutting log-core down
[01:28:07] [INFO] received Windows console close event; shutting log-core down
[01:28:21] [INFO] received Windows console close event; shutting log-core down
[01:28:37] [INFO] received Windows console close event; shutting log-core down
[01:28:56] [INFO] received Windows console close event; shutting log-core down
[01:38:41] [INFO] received Windows console close event; shutting log-core down
[01:39:46] [INFO] received Windows console close event; shutting log-core down
[01:40:44] [INFO] received Windows console close event; shutting log-core down
[01:41:36] [INFO] received Windows console close event; shutting log-core down
[01:42:54] [INFO] received Windows console close event; shutting log-core down
[01:59:14] [INFO] received Windows console close event; shutting log-core down
[01:59:59] [INFO] received Windows console close event; shutting log-core down
[02:24:05] [INFO] received Windows console close event; shutting log-core down
[02:49:33] [INFO] received Windows console close event; shutting log-core down
[03:01:49] [INFO] received Windows console close event; shutting log-core down
[03:03:20] [INFO] received Windows console close event; shutting log-core down
[03:04:13] [INFO] received Windows console close event; shutting log-core down
[03:12:24] [INFO] received Windows console close event; shutting log-core down
[03:27:46] [INFO] received Windows console close event; shutting log-core down
[03:28:39] [INFO] received Windows console close event; shutting log-core down
[03:45:51] [INFO] received Windows console close event; shutting log-core down
[03:48:05] [INFO] received Windows console close event; shutting log-core down
[03:51:27] [INFO] received Windows console close event; shutting log-core down
[04:04:00] [INFO] received Windows console close event; shutting log-core down
[01:22:36] [INFO] received Windows console close event; shutting log-core down
[01:26:58] [INFO] received Windows console close event; shutting log-core down
[01:33:15] [INFO] received Windows console close event; shutting log-core down
[01:34:14] [INFO] received Windows console close event; shutting log-core down
[01:36:23] [INFO] received Windows console close event; shutting log-core down
[01:37:40] [INFO] received Windows console close event; shutting log-core down
[06:29:32] [INFO] received Windows console close event; shutting log-core down
[06:33:21] [INFO] received Windows console close event; shutting log-core down
[06:34:25] [INFO] received Windows console close event; shutting log-core down
[06:51:58] [INFO] received Windows console close event; shutting log-core down
[06:52:12] [INFO] received Windows console close event; shutting log-core down
[06:53:01] [INFO] received Windows console close event; shutting log-core down
[06:59:27] [INFO] received Windows console close event; shutting log-core down
[07:00:38] [INFO] received Windows console close event; shutting log-core down
[07:02:15] [INFO] received Windows console close event; shutting log-core down
[07:05:47] [INFO] received Windows console close event; shutting log-core down
[07:06:58] [INFO] received Windows console close event; shutting log-core down
[07:28:28] [INFO] received Windows console close event; shutting log-core down
[07:38:58] [INFO] received Windows console close event; shutting log-core down
[07:47:55] [INFO] received Windows console close event; shutting log-core down
[07:48:43] [INFO] received Windows console close event; shutting log-core down
[07:50:18] [INFO] received Windows console close event; shutting log-core down
[08:08:46] [INFO] received Windows console close event; shutting log-core down
[09:18:24] [INFO] received Windows console close event; shutting log-core down
[09:32:37] [INFO] received Windows console close event; shutting log-core down
[09:35:35] [INFO] received Windows console close event; shutting log-core down
[09:37:15] [INFO] received Windows console close event; shutting log-core down
[09:40:46] [INFO] received Windows console close event; shutting log-core down
[09:42:48] [INFO] received Windows console close event; shutting log-core down
[21:54:18] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:57:38] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:00:08] [INFO] received Windows console close event; shutting log-core down
[22:05:10] [INFO] received Windows console close event; shutting log-core down
[22:11:57] [INFO] received Windows console close event; shutting log-core down
[22:20:30] [INFO] received Windows console close event; shutting log-core down
[22:20:53] [INFO] received Windows console close event; shutting log-core down
[23:04:29] [INFO] received Windows console close event; shutting log-core down
[23:05:30] [INFO] received Windows console close event; shutting log-core down
[23:07:55] [INFO] received Windows console close event; shutting log-core down
[23:11:30] [INFO] received Windows console close event; shutting log-core down
[23:13:21] [INFO] received Windows console close event; shutting log-core down
[23:13:53] [INFO] received Windows console close event; shutting log-core down
[23:31:12] [INFO] received Windows console close event; shutting log-core down
[23:37:09] [INFO] received Windows console close event; shutting log-core down
[23:39:57] [INFO] received Windows console close event; shutting log-core down
[23:40:29] [INFO] received Windows console close event; shutting log-core down
[23:48:22] [INFO] received Windows console close event; shutting log-core down
[23:49:05] [INFO] received Windows console close event; shutting log-core down
[23:49:48] [INFO] received Windows console close event; shutting log-core down
[08:11:09] [INFO] received Windows console close event; shutting log-core down
[08:11:47] [INFO] received Windows console close event; shutting log-core down
[08:14:19] [INFO] received Windows console close event; shutting log-core down
[08:15:09] [INFO] received Windows console close event; shutting log-core down
